""
Smilacaceae
Ephedra
Cystopteris
Pulmonaria saccharata
Chenopodiastrum
Ophrys fusca
Dipcadi
Elymus acutus
Campanula scheuchzeri
Bifora radians
Phelipanche ramosa
Gymnadenia
Artemisia campestris
Legousia hybrida
Aucuba japonica
Helleborus niger
Juniperus sabina
Adenocarpus complicatus
Vicia
Dactylorhiza incarnata
Cotinus
Araceae
Kickxia elatine
Bellis sylvestris
Tussilago
Silene suecica
Piptatherum
Alisma lanceolatum
Satureja hortensis
Avena
Pinus mugo
Mibora minima
Erica arborea
Potentilla grandiflora
Ajuga pyramidalis
Leucanthemopsis
Pinguicula grandiflora
Filago pyramidata
Bothriochloa
Cleistogenes serotina
Deschampsia cespitosa
Antennaria dioica
Lathyrus laevigatus
Tuberaria
Linum usitatissimum
Ranunculaceae
Oenanthe peucedanifolia
Linaria repens
Daboecia cantabrica
Cirsium heterophyllum
Oreopteris
Helianthemum
Astragalus monspessulanus
Rubus fruticosus
Lagurus
Festuca nigrescens
Euphrasia
Achillea tomentosa
Hypopitys
Hyacinthus orientalis
Cupressus
Trifolium pratense
Lysimachia vulgaris
Polygala alpina
Potamogeton perfoliatus
Chelidonium
Torilis
Carex acuta
Armeria alpina
Actaea
Dactylorhiza
Spiranthes aestivalis
Allium acutiflorum
Arundo donax
Crepis paludosa
Galium boreale
Galium aparine
Hydrangea macrophylla
Orchis purpurea
Genista salzmannii
Diplotaxis tenuifolia
Amaranthus blitoides
Alyssoides utriculata
Cyanus segetum
Plantago lagopus
Dianthus gratianopolitanus
Arctotheca
Quercus rubra
Aquilegia bertolonii
Gymnadenia conopsea
Leontodon hyoseroides
Armoracia rusticana
Echinochloa crus-galli
Aeluropus littoralis
Gentiana pumila
Iris pseudacorus
Pinus radiata
Campsis
Paeonia officinalis
Aphanes microcarpa
Periploca graeca
Silene nocturna
Phragmites australis
Abies grandis
Fragaria viridis
Galium maritimum
Paraserianthes
Pistacia terebinthus
Polygonatum multiflorum
Liliales
Pinopsida
Hesperis
Lotus ornithopodioides
Rosa rugosa
Veronica anagallis-aquatica
Violaceae
Larix decidua
Euphrasia stricta
Panicum
Teucrium botrys
Gentiana burseri
Geraniales
Brachypodium
Persicaria maculosa
Erigeron strigosus
Arthrocnemum macrostachyum
Urospermum picroides
Andromeda
Saponaria
Euphorbiaceae
Fragaria vesca
Ornithogalum arabicum
Veronica alpina
Digitalis
Vaccinium vitis-idaea
Cyperaceae
Dryopteris expansa
Ranunculus lanuginosus
Teesdalia
Eragrostis minor
Narcissus assoanus
Acacia retinodes
Cneorum
Fallopia baldschuanica
Lupinus angustifolius
Porophyllum
Utricularia
Filago minima
Myricaria germanica
Carex strigosa
Eriophorum
Vicia tetrasperma
Campanula rotundifolia
Veronica hederifolia
Salvia sclarea
Scutellaria alpina
Astrantia
Comarum
Bunias orientalis
Trisetum
Bromus arvensis
Cistaceae
Hedera helix
Isolepis setacea
Cyperus esculentus
Urtica dioica
Plantago subulata
Hydrangea
Cardamine pentaphyllos
Crossosomatales
Spirodela
Heliotropium europaeum
Jacobaea erratica
Rubus bifrons
Malva
Ludwigia peploides
Mercurialis annua
Ranunculus gramineus
Parapholis filiformis
Staphylea pinnata
Cyclamen
Silene nutans
Ailanthus
Helleborus lividus
Convallaria majalis
Matricaria
Filago gallica
Dorycnium rectum
Rosa tomentosa
Serapias neglecta
Aegilops cylindrica
Oxalidaceae
Leucanthemum coronopifolium
Limonium echioides
Brassica oleracea
Meum athamanticum
Daucus carota
Iberis pinnata
Hymenocarpos
Chaerophyllum bulbosum
Trifolium hybridum
Papaver dubium
Silene uniflora
Carex hirta
Asperula taurina
Aphyllanthes
Aristolochia
Aizoaceae
Laburnum
Myosotis laxa
Prunus spinosa
Leucanthemum adustum
Cynoglossum
Piptatherum paradoxum
Tuberaria guttata
Juncus acutiflorus
Ceratophyllum submersum
Filipendula
Achnatherum bromoides
Chiliadenus
Arenaria leptoclados
Androsace alpina
Ptychotis saxifraga
Symphoricarpos albus
Trifolium
Stipa pennata
Bunium
Asarum europaeum
Spiraea salicifolia
Allium oleraceum
Lantana
Alnus alnobetula
Ranunculus kuepferi
Yucca gloriosa
Cruciata glabra
Chamomilla
Asarum
Jasonia tuberosa
Trifolium pallescens
Bupleurum ranunculoides
Araucaria araucana
Cotoneaster
Paspalum distichum
Asarina
Cerastium arvense
Kerria japonica
Polypodium vulgare
Campsis grandiflora
Cerastium holosteoides
Gnaphalium
Medicago marina
Scabiosa
Erica multiflora
Ranunculus trichophyllus
Vitex
Potentilla nivalis
Menyanthes
Torilis arvensis
Filago arvensis
Saxifraga media
Saxifraga
Veronica fruticans
Poa alpina
Aesculus carnea
Cotula
Geranium cinereum
Thymus pulegioides
Helictotrichon pubescens
Hypopitys monotropa
Hieracium glaucinum
Euphorbia esula
Lysimachia thyrsiflora
Chaerophyllum villarsii
Rorippa sylvestris
Carthamus lanatus
Dittrichia viscosa
Cercis
Anthyllis
Arisarum vulgare
Symphyotrichum
Ophrys apifera
Lathyrus filiformis
Vicia onobrychioides
Hypericum tetrapterum
Picea abies
Andryala
Cycas
Euphorbia amygdaloides
Digitaria
Ononis viscosa
Arenaria provincialis
Allium paniculatum
Prunella
Aegopodium
Pedicularis foliosa
Telephium
Cytisus
Cucurbita
Fumaria wirtgenii
Anthericum
Solanum lycopersicum
Cornus sanguinea
Senecio vulgaris
Impatiens glandulifera
Verbascum nigrum
Potamogeton crispus
Carex
Coriariaceae
Chamaerops
Sonchus
Quercus robur
Scorpiurus muricatus
Callistemon
Galium uliginosum
Crepis bursifolia
Myriophyllum
Pittosporum tobira
Holcus
Miscanthus
Lactuca saligna
Echinophora spinosa
Crepis capillaris
Pimpinella saxifraga
Lactuca perennis
Passifloraceae
Euphorbia platyphyllos
Sorbus aucuparia
Plantago holosteum
Fagopyrum
Carex vulpina
Apiales
Securigera
Daphne laureola
Lunaria rediviva
Fourraea
Pulicaria dysenterica
Bergenia
Ophioglossales
Gentianella campestris
Viola hirta
Trifolium spumosum
Saxifraga bryoides
Bupleurum tenuissimum
Glycine max
Chaenorhinum minus
Vicia faba
Panicum miliaceum
Lepidium hirtum
Chenopodium opulifolium
Phillyrea angustifolia
Artemisia caerulescens
Moenchia
Helianthemum ovatum
Rhamnus cathartica
Taraxacum pyrenaicum
Staphyleaceae
Galinsoga parviflora
Festuca pratensis
Ribes uva-crispa
Sambucus ebulus
Carex bohemica
Trifolium montanum
Melica nutans
Aetheorhiza bulbosa
Viola mirabilis
Triglochin
Sison amomum
Valeriana saliunca
Lactuca virosa
Dracocephalum ruyschiana
Calendula officinalis
Cardamine resedifolia
Agrostemma githago
Oenothera lindheimeri
Neottia
Clinopodium
Hypericum humifusum
Exaculum
Heliotropium
Lilium pomponium
Ficus carica
Convolvulus cantabrica
Salvia pratensis
Lolium perenne
Nartheciaceae
Petasites paradoxus
Alyssum montanum
Retama monosperma
Epilobium dodonaei
Phyteuma orbiculare
Medicago rigidula
Melampyrum sylvaticum
Choisya
Scorzonera
Vicia dumetorum
Valantia muralis
Oxybasis rubra
Scabiosa columbaria
Lindernia dubia
Medicago truncatula
Lathyrus pannonicus
Anarrhinum bellidifolium
Pinus
Dryas octopetala
Crupina vulgaris
Oenothera biennis
Helictotrichon sedenense
Dactylis
Echinops sphaerocephalus
Arecales
Verbascum chaixii
Persicaria hydropiper
Helianthemum grandiflorum
Leycesteria formosa
Cynodon
Atropa belladonna
Pinguicula leptoceras
Eriophorum angustifolium
Lauraceae
Fagus
Veronica
Muscari atlanticum
Cymbalaria
Astragalus stella
Phlomis fruticosa
Epipogium
Cupressaceae
Veronica spicata
Spartium
Ferula communis
Rosa spinosissima
Centaurea melitensis
Ulmus glabra
Fatsia
Philadelphus coronarius
Salvia glutinosa
Syringa
Carlina acaulis
Horminum
Dianthus balbisii
Blysmus compressus
Pedicularis verticillata
Valantia
Raphanus raphanistrum
Vicia parviflora
Reseda jacquinii
Carex hostiana
Tragopogon orientalis
Campanula cochleariifolia
Polemonium
Scrophularia oblongifolia
Consolida ajacis
Ranunculus alpestris
Lotus delortii
Galium murale
Salix hastata
Scrophularia nodosa
Elymus caninus
Lens nigricans
Plantago coronopus
Anarrhinum
Pteridium aquilinum
Helianthemum ledifolium
Bromus catharticus
Ferula
Bromus tectorum
Chiliadenus glutinosus
Vulpia fasciculata
Viburnum
Selaginellales
Delosperma cooperi
Carex oederi
Gypsophila
Ononis natrix
Tilia
Veronica serpyllifolia
Bellevalia romana
Tragopogon
Alisma plantago-aquatica
Roemeria
Amaranthus retroflexus
Silene coronaria
Aspleniaceae
Bergenia crassifolia
Phelipanche
Sabulina mediterranea
Astragalus frigidus
Verbascum sinuatum
Euphorbia exigua
Carex acutiformis
Draba aizoides
Sambucus racemosa
Phegopteris
Gentiana angustifolia
Polypodium
Cirsium carniolicum
Lythraceae
Aristolochia pistolochia
Myrtus
Epilobium hirsutum
Prunus serrulata
Scirpus sylvaticus
Asplenium septentrionale
Urospermum dalechampii
Malva sylvestris
Sedum caespitosum
Lythrum
Eriophorum latifolium
Nymphaea alba
Oreoherzogia
Lemna gibba
Diospyros lotus
Caryophyllaceae
Campanula trachelium
Astrantia minor
Rubia
Viola arborescens
Laphangium luteoalbum
Psammophiliella muralis
Jacobaea paludosa
Juglans regia
Leucanthemum virgatum
Bromus madritensis
Anemone coronaria
Holcus mollis
Papaveraceae
Geranium pratense
Equisetum sylvaticum
Alchemilla monticola
Anagallis arvensis
Leycesteria
Salix repens
Arabis collina
Berberidaceae
Dioscoreaceae
Agrostis gigantea
Salix mollissima
Dactylorhiza viridis
Vicia bithynica
Sedum
Ornithogalum divergens
Crocus nudiflorus
Dactylorhiza alpestris
Gentiana punctata
Falcaria vulgaris
Carduus nutans
Hippomarathrum
Pancratium maritimum
Impatiens parviflora
Misopates
Olea
Veronica orsiniana
Nymphaeales
Citrus limon
Gymnadenia rhellicani
Azolla
Hydrocotyle ranunculoides
Carex divisa
Eriophorum vaginatum
Papaver lecoqii
Huperzia
Prunus persica
Arecaceae
Fallopia
Galium tricornutum
Verbascum pulverulentum
Orobanche teucrii
Melilotus elegans
Salix pentandra
Nasturtium officinale
Nepeta
Centaurea jacea
Rubus echinatus
Leucanthemopsis alpina
Saxifraga cuneifolia
Sarraceniaceae
Corylus
Cytisus decumbens
Fumana
Asplenium ceterach
Juncus triglumis
Sherardia
Lagarosiphon major
Jacobaea erucifolia
Amaryllidaceae
Anemone narcissiflora
Erodium chium
Limbarda crithmoides
Paronychia kapela
Acer tataricum
Plantago arenaria
Carpobrotus acinaciformis
Amaranthus graecizans
Clinopodium vulgare
Poales
Bromus intermedius
Trifolium michelianum
Populus balsamifera
Jurinea
Hemerocallis
Nardus stricta
Antennaria
Gleditsia
Chrozophora
Dipsacus pilosus
Matricaria discoidea
Amorpha fruticosa
Rubiaceae
Abutilon theophrasti
Scirpoides
Schoenus nigricans
Epilobium fleischeri
Valeriana procurrens
Veronica verna
Juncus articulatus
Lagerstroemia indica
Viola kitaibeliana
Leontodon tuberosus
Lilium pyrenaicum
Iberis saxatilis
Dysphania botrys
Viola biflora
Melanthiaceae
Juglans
Orlaya
Veronica urticifolia
Sternbergia
Bromus racemosus
Arrhenatherum longifolium
Nepeta latifolia
Claytonia perfoliata
Sporobolus indicus
Verbascum
Pinguicula
Cakile maritima
Trifolium resupinatum
Araujia
Cirsium tuberosum
Molopospermum
Viburnum opulus
Zygophyllales
Fagaceae
Galium debile
Athyrium filix-femina
Helianthemum canum
Arabidopsis
Rhagadiolus edulis
Oxalis
Silaum
Potentilla alchimilloides
Pedicularis palustris
Calocedrus
Centaurium littorale
Dryopteris dilatata
Glechoma hederacea
Arenaria aggregata
Symphoricarpos
Euphorbia illirica
Aster
Thalictrum tuberosum
Osyris
Festuca marginata
Alchemilla conjuncta
Diplotaxis erucoides
Helictotrichon
Oenothera
Thesium humifusum
Cerastium tomentosum
Osmunda regalis
Dichoropetalum
Echinaria
Valeriana pyrenaica
Frankenia
Ornithopus
Saxifraga hirsuta
Polypodiales
Phleum phleoides
Orobanche alba
Imperatoria
Calla
Poa pratensis
Myosurus minimus
Linaceae
Jasminum officinale
Alopecurus myosuroides
Erigeron karvinskianus
Ceratophyllum
Thysselinum palustre
Impatiens noli-tangere
Senecio
Hieracium tomentosum
Setaria verticillata
Plantago lanceolata
Ranunculus arvensis
Asclepias syriaca
Libanotis pyrenaica
Spergula
Najas marina
Leontodon
Astragalus sesameus
Brassicales
Genista pilosa
Ophrys flavicans
Cydonia
Rubus napophiloides
Rosmarinus officinalis
Poa trivialis
Jubaea
Veronica catenata
Tribulus
Dipsacus laciniatus
Moraceae
Heracleum pyrenaicum
Lotus hispidus
Gentiana acaulis
Celtis occidentalis
Staehelina dubia
Bupleurum longifolium
Festuca laevigata
Ranunculus seguieri
Erica carnea
Tozzia alpina
Cuscuta scandens
Adenostyles alpina
Angelica archangelica
Peucedanum officinale
Hyoscyamus niger
Pyracantha
Viscum album
Weigela
Carex elongata
Globularia alypum
Thysselinum lancifolium
Broussonetia
Brassica
Abies
Alopecurus pratensis
Lathyrus linifolius
Scandix pecten-veneris
Echium asperrimum
Thlaspi alliaceum
Euphrasia minima
Carduus nigrescens
Gentiana lutea
Taraxacum campylodes
Pyrola rotundifolia
Dactylorhiza saccifera
Halimium umbellatum
Glycine
Cerastium cerastoides
Glyceria fluitans
Polygala myrtifolia
Lavandula
Omphalodes
Santalaceae
Hieracium racemosum
Bidens cernua
Knautia purpurea
Asplenium fontanum
Geranium robertianum
Anemone nemorosa
Cirsium oleraceum
Pachypleurum simplex
Cirsium erisithales
Galium megalospermum
Triglochin palustris
Actinidiaceae
Thymus longicaulis
Tulipa sylvestris
Platycapnos
Prenanthes purpurea
Trollius europaeus
Rubus lacertosus
Carduus litigiosus
Melissa
Turritis
Polygonum maritimum
Psilurus
Artemisia genipi
Diospyros kaki
Hyacinthoides non-scripta
Hordeum
Campanula spicata
Thuja occidentalis
Chenopodiastrum hybridum
Equisetum
Crepis albida
Magnoliales
Tephroseris
Luzula multiflora
Bartsia
Senecio doria
Spergula arvensis
Spergula morisonii
Euphorbia nicaeensis
Sideritis romana
Gentiana rostanii
Herniaria alpina
Geranium sylvaticum
Veronica filiformis
Antirrhinum
Dioscorea communis
Scabiosa pyrenaica
Hippophae rhamnoides
Caucalis platycarpos
Phegopteris connectilis
Scorzonera humilis
Echinospartum
Cyperus michelianus
Saxifraga caesia
Euphorbia serpens
Wahlenbergia hederacea
Carex montana
Hydrangeaceae
Cynara
Cardamine raphanifolia
Allium carinatum
Leucanthemum pallens
Chelidonium majus
Primula integrifolia
Androsace vitaliana
Ornithogalum
Vicia narbonensis
Aesculus hippocastanum
Iris germanica
Astragalus tragacantha
Narthecium ossifragum
Leucanthemum
Ornithopus compressus
Sedum rubens
Hyoseris radiata
Trifolium leucanthum
Petroselinum crispum
Carex spicata
Capsella rubella
Platanus occidentalis
Alismataceae
Cyanus
Festuca heterophylla
Salix reticulata
Soleirolia
Gratiola officinalis
Oxalis pes-caprae
Chamomilla chamomilla
Pyrola media
Vaccaria
Kobresia
Primula farinosa
Allium polyanthum
Salpichroa origanifolia
Sisymbrium austriacum
Galinsoga quadriradiata
Hippocrepis ciliata
Scrophularia
Vitis vinifera
Prunella vulgaris
Carduus pycnocephalus
Lathyrus aphaca
Phyteuma michelii
Taxus
Streptopus
Vicia serratifolia
Sorghum bicolor
Aegilops
Calluna vulgaris
Cerinthe glabra
Luzula spicata
Viburnum lantana
Fraxinus
Dichoropetalum carvifolia
0
Ramonda myconi
Potentilla supina
Lathyrus saxatilis
Potamogetonaceae
Festuca ovina
Thlaspi
Doronicum plantagineum
Campanula barbata
Alopecurus geniculatus
Lithodora
Dennstaedtiaceae
Veronica agrestis
Eleusine indica
Comarum palustre
Scilla bifolia
Erica vagans
Hottonia
Carex davalliana
Phyteuma hemisphaericum
Tamarix gallica
Orchis pallens
Gentiana pyrenaica
Ranunculus ololeucos
Mirabilis
Anagallis foemina
Asphodelus fistulosus
Pancratium illyricum
Calla palustris
Bartsia trixago
Trachelium
Linaria arenaria
Kali
Teucrium pyrenaicum
Cyperus
Rosa agrestis
Trifolium fragiferum
Salvia verticillata
Bunias
Vicia villosa
Syringa vulgaris
Paspalum
Ribes
Petrocoptis pyrenaica
Doronicum austriacum
Paradisea liliastrum
Antirrhinum majus
Silene latifolia
Ziziphus jujuba
Astragalus australis
Rhaponticum scariosum
Phytolacca acinosa
Asparagus tenuifolius
Centaurea scabiosa
Polygala monspeliaca
Succisa
Frangula alnus
Euphorbia segetalis
Geranium rotundifolium
Laurus
Thapsia
Phlomis lychnitis
Allium chamaemoly
Aira praecox
Lonicera caerulea
Parnassia
Hypecoum
Vinca difformis
Poa chaixii
Hymenocarpos circinnatus
Genista tinctoria
Rorippa amphibia
Hieracium eriophorum
Parietaria judaica
Hottonia palustris
Polystichum aculeatum
Goodyera
Asplenium ruta-muraria
Spartium junceum
Dictamnus
Solanum
Agrimonia eupatoria
Veronica persica
Malcolmia littorea
Lepidium ruderale
Xanthium strumarium
Hyparrhenia
Euphorbia hyberna
Ranunculus omiophyllus
Betula
Vicia angustifolia
Chenopodium polyspermum
Laserpitium gallicum
Thesium alpinum
Carlina
Ranunculus lingua
Fritillaria involucrata
Bituminaria
Cornus mas
Lotus
Fraxinus angustifolia
Cochlearia officinalis
Pinus wallichiana
Crocus
Leucanthemum subglaucum
Euonymus fortunei
Cladium mariscus
Lonicera alpigena
Clinopodium nepeta
Vicia cracca
Galium verticillatum
Iridaceae
Leymus
Chenopodium murale
Cephalaria
Oenanthe aquatica
Cota tinctoria
Briza
Carex flava
Ulex europaeus
Leontopodium nivale
Tolpis umbellata
Alchemilla saxatilis
Eritrichium
Anemone sylvestris
Sisymbrella aspera
Plantago monosperma
Hydrocotyle
Veronica dillenii
Antirrhinum latifolium
Adonis vernalis
Erigeron bonariensis
Alchemilla vulgaris
Achillea nobilis
Ranunculus flammula
Ligustrum vulgare
Ceratophyllaceae
Dianthus carthusianorum
Puccinellia
Dysphania ambrosioides
Rumex scutatus
Lolium
Oxalis fontana
Ranunculus sceleratus
Galium arenarium
Coriandrum sativum
Aconitum
Alchemilla xanthochlora
Iris
Celastrales
Apium
Trifolium strictum
Callitriche stagnalis
Bituminaria bituminosa
Resedaceae
Rubus caesius
Veronica allionii
Colchicaceae
Solidago gigantea
Viola rupestris
Poterium sanguisorba
Campanula rapunculus
Erigeron acris
Aphanes australis
Bromus rigidus
Tordylium apulum
Juncus compressus
Liparis
Festuca violacea
Commelina communis
Ginkgo biloba
Teucrium chamaedrys
Sisymbrium
Calocedrus decurrens
Isolepis fluitans
Calluna
Moehringia muscosa
Cardamine heptaphylla
Lactuca serriola
Callistemon citrinus
Securigera varia
Salix fragilis
Gentiana pneumonanthe
Sagina glabra
Helianthemum apenninum
Oxytropis fetida
Leucanthemum atratum
Rosa arvensis
Solidago canadensis
Orchidaceae
Dryopteris villarii
Catalpa
Crepis aurea
Hippomarathrum montanum
1
Euphorbia lathyris
Geranium molle
Asphodelus ramosus
Sedum brevifolium
Arundo
Pedicularis cenisia
Tussilago farfara
Bromus lanceolatus
Tragus
Eucalyptus globulus
Hieracium lachenalii
Huperzia selago
Dorycnium hirsutum
Anacamptis pyramidalis
Centaurea nervosa
Typhaceae
Acer opalus
Glebionis
Aegilops geniculata
Hydrocharitaceae
Oxytropis foucaudii
Trapa
Dianthus seguieri
Bryonia
Geraniaceae
Thinopyrum intermedium
Hieracium
Polygala
Centaurium grandiflorum
Coronilla
Lotus corniculatus
Phoenix
Orlaya grandiflora
Poa cenisia
Plumbago europaea
Conopodium
Melampyrum
Clypeola jonthlaspi
Myosotis alpestris
Pinus uncinata
Abies nordmanniana
Agrostis rupestris
Luzula nivea
Anthemis
Andryala integrifolia
Astragalus penduliflorus
Alchemilla alpina
Galium lucidum
Medicago littoralis
Euonymus
Callitriche
Luzula pilosa
Galium pyrenaicum
Allium flavum
Sonchus maritimus
Vicia johannis
Matthiola incana
Cupressus macrocarpa
Salix myrsinifolia
Laurales
Persicaria lapathifolia
Buphthalmum
Linum trigynum
Aegilops triuncialis
Gaudinia
Crocus vernus
Lamium amplexicaule
Hippocrepis emerus
Trapa natans
Melampyrum cristatum
Petasites
Veronica teucrium
Posidoniaceae
Euphorbia peplus
Convolvulaceae
Sempervivum globiferum
Ranunculus penicillatus
Centaurea collina
Cardamine asarifolia
Koeleria vallesiana
Lepidium heterophyllum
Micranthes
Poa annua
Malva alcea
Lagerstroemia
Crithmum maritimum
Ribes alpinum
Pistacia
Centaurium pulchellum
Torilis nodosa
Minuartia villarii
Eryngium
Rosa pouzinii
Laserpitium
Silene italica
Populus nigra
Agrimonia
Laserpitium latifolium
Echinophora
Geum rivale
Stachys germanica
Scirpoides holoschoenus
Rosa glauca
Calamagrostis epigejos
Silybum
Malus
Lathyrus tuberosus
Conringia
Epilobium anagallidifolium
Misopates orontium
Araucaria
Lycopodium
Hedysarum hedysaroides
Phagnalon sordidum
Sesleria
Lithospermum
Schoenoplectus lacustris
Helianthemum salicifolium
Lathraea squamaria
Saxifraga biflora
Saxifraga granulata
Cardamine bulbifera
Hedypnois
Gentiana purpurea
Asteraceae
Cedrus
Genista radiata
Astragalus vesicarius
Centaurea solstitialis
Chamaemelum nobile
Hieracium piliferum
Typha angustifolia
Calicotome
Galinsoga
Agrostis stolonifera
Punica
Chrozophora tinctoria
Euphorbia palustris
Campanula alpestris
Minuartia recurva
Lathyrus vernus
Clinopodium alpinum
Circaea
Laurus nobilis
Helichrysum stoechas
Dianthus pungens
Dorycnium pentaphyllum
Silene vulgaris
Pinus pinea
Anogramma
Dittrichia
Dianthus gallicus
Lotus glaber
Paliurus
Rhinanthus
Veronica austriaca
Carex alba
Conringia orientalis
Sonchus palustris
Gastridium
Orobanche rapum-genistae
Catananche
Liquidambar styraciflua
Geum
Herniaria hirsuta
Blysmus
Quercus cerris
Scutellaria galericulata
Bidens subalternans
Bromus rubens
Diplotaxis
Verbesina
Lindernia
Erigeron alpinus
Tordylium maximum
Impatiens
Coincya
Cynanchum acutum
Vulpia
Oenanthe fistulosa
Carlina vulgaris
Veronica bellidioides
Morus alba
Tripolium
Hyoscyamus
Myosotis arvensis
Astragalus incanus
Chaerophyllum aureum
Rhinanthus alectorolophus
Alisma
Lemna trisulca
Scrophularia alpestris
Orobanche caryophyllacea
Portulaca oleracea
Pulmonaria
Quercus ilex
Atriplex halimus
Urticaceae
Oenanthe silaifolia
Trifolium campestre
Thymelaea hirsuta
Crataegus laevigata
Trifolium purpureum
Saxifraga aizoides
Phoenix canariensis
Raphanus sativus
Lamium garganicum
Epipactis purpurata
Agrostemma
Sherardia arvensis
Schoenoplectus
Alnus
Dryopteris filix-mas
Ononis mitissima
Galeopsis ladanum
Abies alba
Chamaemelum
Scabiosa triandra
Radiola linoides
Phedimus spurius
Astragalus alpinus
Petasites hybridus
Panicum capillare
Rutaceae
Laserpitium halleri
Brassica nigra
Petrorhagia
Euphrasia alpina
Hypericum perfoliatum
Draba muralis
Medicago arabica
Philadelphus
Aristolochiaceae
Cichorium intybus
Lotus creticus
Thalictrum minus
Sapindales
Jacobaea aquatica
Hylotelephium telephium
Brachypodium distachyon
Symphytum tuberosum
Plumbaginaceae
Campanula medium
Rhynchospora
Balsaminaceae
Rumex acetosa
Lamprocapnos spectabilis
Pyrola chlorantha
Trisetum spicatum
Fabaceae
Comastoma
Tozzia
Salviniales
Ophioglossaceae
Delosperma
Perovskia atriplicifolia
Valerianella dentata
Vaccinium oxycoccos
Polygonatum verticillatum
Prunus avium
Jurinea humilis
Gypsophila repens
Foeniculum vulgare
Crepis pulchra
Cryptogramma crispa
Cypripedium
Pinales
Allium neapolitanum
Linaria vulgaris
Bupleurum rotundifolium
Carduus
Pinus cembra
Aquifoliaceae
Atriplex
Colchicum autumnale
Orthilia
Viola odorata
Viburnum tinus
Gnetopsida
Swertia perennis
Hesperis matronalis
Sanicula
Larix
Ulex
Agrostis canina
Triticum turgidum
Neotinea maculata
Elymus repens
Cortaderia
Eupatorium
Podospermum purpureum
Helictotrichon sempervirens
Festuca lemanii
Thesium divaricatum
Spiraea hypericifolia
